animalID	year	yday	molt
50784	2020	128	10
50784	2020	129	30
50784	2020	131	10
50784	2020	135	2
50784	2020	135	15
50784	2020	141	25
50784	2020	143	55
50784	2020	150	100
50784	2020	152	100
50784	2020	154	100
50784	2020	155	100
50800	2020	100	0
50800	2020	102	5
50800	2020	107	2
50800	2020	110	20
50800	2020	110	5
50800	2020	139	100
51351	2021	86	0
51351	2021	88	0
51351	2021	93	0
51351	2021	95	0
51351	2021	96	40
51351	2021	98	2
51351	2021	99	1
51351	2021	102	2
51351	2021	103	5
51351	2021	104	10
51351	2021	107	15
51351	2021	108	40
51351	2021	109	40
51351	2021	114	90
51351	2021	120	100
51351	2021	122	100
51351	2021	124	100
51351	2021	127	100
51351	2021	128	100
51351	2021	130	100
51351	2021	130	100
51389	2021	107	0
51389	2021	108	25
51389	2021	114	1
51389	2021	120	60
51389	2021	122	0
51389	2021	123	50
51389	2021	124	60
51389	2021	125	60
51389	2021	130	95
51389	2021	130	98
51389	2021	132	100
51389	2021	134	100
51389	2021	135	100
51389	2021	140	100
51389	2021	141	100
51389	2021	141	100
51390	2021	80	0
51390	2021	83	0
51390	2021	86	0
51390	2021	87	0
51390	2021	100	2
51390	2021	107	20
51390	2021	108	30
51390	2021	109	15
51390	2021	111	35
51390	2021	114	60
51390	2021	117	90
51390	2021	122	90
51390	2021	124	100
51390	2021	128	100
51390	2021	130	100
51390	2021	130	100
51390	2021	132	100
51408	2021	106	20
51408	2021	114	5
51408	2021	125	20
51408	2021	135	80
51408	2021	140	100
51408	2021	153	100
51410	2021	103	1
51410	2021	107	25
51410	2021	109	0
51410	2021	109	15
51410	2021	115	2
51410	2021	117	0
51410	2021	122	0
51410	2021	123	2
51410	2021	132	90
51410	2021	142	100
51410	2021	144	100
51410	2021	145	100
51410	2022	105	0
51410	2022	116	2
51410	2022	117	0
51410	2022	120	0
51410	2022	122	30
51410	2022	124	40
51410	2022	125	20
51410	2022	126	45
51410	2022	131	100
51410	2022	137	100
51410	2022	139	100
51410	2022	148	100
51442	2021	89	0
51442	2021	93	0
51442	2021	94	40
51442	2021	107	1
51442	2021	117	90
51442	2021	123	100
51442	2021	130	100
51442	2021	135	100
51448	2021	83	0
51448	2021	89	0
51448	2021	92	10
51448	2021	95	0
51448	2021	96	0
51448	2021	97	2
51448	2021	99	2
51448	2021	100	3
51448	2021	101	35
51448	2021	102	3
51448	2021	102	10
51448	2021	104	5
51448	2021	106	8
51448	2021	106	20
51448	2021	107	2
51448	2021	109	10
51448	2021	113	30
51448	2021	114	50
51448	2021	116	68
51448	2021	117	80
51448	2021	122	95
51448	2021	123	100
51448	2021	128	100
51448	2021	130	100
51450	2021	86	0
51450	2021	88	20
51450	2021	94	70
51450	2021	95	5
51450	2021	100	0
51450	2021	100	0
51450	2021	103	0
51450	2021	107	10
51450	2021	107	30
51450	2021	117	100
51450	2021	122	100
51450	2021	124	100
51450	2021	125	100
51450	2021	128	100
51450	2021	129	100
51450	2021	130	100
51495	2021	108	10
51495	2021	110	0
51495	2021	116	0
51495	2021	120	0
51495	2021	123	0
51495	2021	128	0
51495	2021	136	70
51495	2021	137	40
51495	2021	144	100
51495	2021	149	100
51495	2021	152	100
51516	2021	109	0
51516	2021	110	0
51516	2021	111	5
51516	2021	111	100
51516	2021	114	0
51516	2021	117	0
51516	2021	127	10
51516	2021	128	5
51516	2021	134	75
51516	2021	135	90
51516	2021	141	100
51516	2021	147	100
51543	2021	106	15
51543	2021	109	0
51543	2021	110	0
51543	2021	114	2
51543	2021	116	0
51543	2021	117	0
51543	2021	130	50
51543	2021	132	85
51543	2021	132	80
51543	2021	134	100
51543	2021	135	100
51543	2021	140	80
51543	2021	141	100
51543	2021	145	95
51592	2021	130	0
51592	2021	130	0
51592	2021	140	5
51592	2021	141	2
51592	2021	143	2
51592	2021	154	97
51592	2021	158	100
51592	2021	161	100
51592	2021	162	100
51592	2022	91	0
51592	2022	105	0
51592	2022	137	100
51592	2022	138	100
51592	2022	140	100
51592	2022	147	100
51628	2021	92	0
51628	2021	93	0
51628	2021	95	0
51628	2021	95	5
51628	2021	95	0
51628	2021	98	0
51628	2021	99	5
51628	2021	103	0
51628	2021	104	5
51628	2021	108	25
51628	2021	109	3
51628	2021	111	10
51628	2021	113	20
51628	2021	114	10
51628	2021	114	20
51628	2021	116	60
51628	2021	117	60
51628	2021	120	95
51628	2021	123	90
51628	2021	123	99
51628	2021	124	90
51628	2021	127	100
51628	2021	128	100
51628	2021	129	100
51628	2021	134	100
51628	2022	110	0
51628	2022	111	0
51628	2022	114	0
51628	2022	117	0
51628	2022	117	0
51628	2022	118	0
51628	2022	119	0
51628	2022	134	80
51628	2022	139	100
51628	2022	147	100
51628	2022	148	100
51652	2021	117	5
51652	2021	118	0
51652	2021	120	20
51652	2021	123	46
51652	2021	128	90
51652	2021	129	100
51652	2021	140	100
51652	2021	141	100
51652	2021	143	100
51652	2022	101	0
51652	2022	104	0
51652	2022	105	0
51652	2022	116	0
51652	2022	117	0
51652	2022	118	5
51652	2022	127	100
51652	2022	129	100
51652	2022	131	100
51652	2022	133	100
51652	2022	137	100
51652	2022	139	100
51657	2021	99	1
51657	2021	104	0
51657	2021	106	5
51657	2021	115	9
51657	2021	116	9
51657	2021	120	5
51657	2021	123	10
51657	2021	125	25
51657	2021	128	90
51657	2022	83	0
51657	2022	130	100
51657	2022	132	100
51657	2022	133	100
51657	2022	137	100
51657	2022	138	100
51659	2021	89	0
51659	2021	93	0
51659	2021	94	60
51659	2021	97	0
51659	2021	98	0
51659	2021	99	30
51659	2021	103	1
51659	2021	107	15
51659	2021	109	5
51659	2021	114	25
51659	2021	117	80
51659	2021	119	80
51659	2021	120	95
51659	2021	122	95
51659	2021	123	100
51659	2021	123	100
51659	2021	124	100
51659	2021	127	100
51659	2021	128	100
51659	2021	130	100
51659	2021	134	100
51730	2022	111	0
51730	2022	114	0
51730	2022	115	2
51730	2022	116	0
51730	2022	117	0
51730	2022	118	0
51730	2022	126	0
51730	2022	132	10
51730	2022	134	65
51730	2022	137	95
51730	2022	137	95
51753	2021	108	5
51753	2021	114	2
51753	2021	114	0
51753	2021	128	5
51753	2021	131	15
51753	2021	143	100
51753	2021	152	100
51767	2022	105	0
51767	2022	108	0
51767	2022	110	0
51767	2022	110	0
51767	2022	119	10
51767	2022	129	100
51767	2022	137	100
51767	2022	141	100
51767	2022	145	100
51777	2021	104	5
51777	2021	112	0
51777	2021	115	0
51777	2021	127	10
51777	2021	143	100
51777	2021	152	100
51783	2021	107	30
51783	2021	108	15
51783	2021	109	0
51783	2021	114	0
51783	2021	117	0
51783	2021	134	35
51783	2021	135	70
51783	2021	142	100
51783	2021	151	100
51808	2021	106	20
51808	2021	107	40
51808	2021	108	35
51808	2021	109	0
51808	2021	114	0
51808	2021	115	0
51808	2021	120	1
51808	2021	123	1
51808	2021	132	20
51808	2021	134	20
51808	2021	137	60
51808	2021	141	90
51808	2021	141	100
51808	2021	143	99
51808	2021	145	100
51808	2021	150	100
51808	2021	151	100
51808	2021	152	100
51821	2021	125	0
51821	2021	128	0
51821	2021	128	0
51821	2021	129	5
51821	2021	130	0
51821	2021	132	30
51821	2021	134	0
51821	2021	140	10
51821	2021	141	2
51821	2021	144	3
51821	2021	150	3
51821	2021	152	10
51821	2021	154	50
51821	2021	157	60
51821	2021	158	80
51821	2021	158	75
51821	2021	162	100
51821	2021	163	95
51821	2021	163	90
51821	2022	112	0
51821	2022	117	2
51821	2022	129	100
51821	2022	132	100
51821	2022	134	100
51821	2022	160	100
51837	2021	95	25
51837	2021	95	0
51837	2021	95	0
51837	2021	97	0
51837	2021	98	0
51837	2021	99	0
51837	2021	100	0
51837	2021	101	5
51837	2021	102	0
51837	2021	102	1
51837	2021	107	0
51837	2021	107	0
51837	2021	110	0
51837	2021	123	100
51837	2021	140	100
51840	2022	95	0
51840	2022	97	0
51840	2022	103	0
51840	2022	105	0
51840	2022	112	10
51840	2022	114	10
51840	2022	117	30
51840	2022	119	75
51840	2022	121	90
51840	2022	123	100
51840	2022	123	100
51840	2022	124	100
51840	2022	124	100
51840	2022	125	100
51840	2022	125	100
51840	2022	129	100
51840	2022	130	100
51840	2022	131	100
51840	2022	132	100
51840	2022	133	100
51840	2022	135	100
51840	2022	137	100
51840	2022	137	100
51840	2022	138	100
51840	2022	145	100
51840	2022	148	100
51852	2021	103	2
51852	2021	104	0
51852	2021	107	0
51852	2021	114	1
51852	2021	127	85
51852	2021	131	100
51852	2021	132	100
51852	2021	134	100
51852	2021	136	100
51852	2021	137	100
51852	2021	140	100
51852	2021	140	100
51852	2022	89	0
51852	2022	90	0
51852	2022	97	0
51852	2022	112	60
51852	2022	120	100
51852	2022	126	100
51852	2022	127	100
51852	2022	130	100
51852	2022	131	100
51852	2022	132	100
51852	2022	137	100
51852	2022	138	100
51852	2022	139	100
51869	2021	94	25
51869	2021	100	0
51869	2021	102	0
51869	2021	103	0
51869	2021	104	5
51869	2021	111	5
51869	2021	114	5
51869	2021	114	30
51869	2021	117	25
51869	2021	125	100
51869	2021	128	100
51869	2021	132	100
51869	2021	135	100
51869	2022	79	0
51869	2022	89	0
51869	2022	90	10
51869	2022	110	85
51869	2022	112	100
51869	2022	117	100
51869	2022	124	100
51873	2021	110	0
51873	2021	114	0
51873	2021	114	0
51873	2021	115	0
51873	2021	116	2
51873	2021	117	0
51873	2021	118	2
51873	2021	120	1
51873	2021	122	5
51873	2021	123	5
51873	2021	125	5
51873	2021	125	10
51873	2021	126	5
51873	2021	128	7
51873	2021	129	10
51873	2021	129	11
51873	2021	130	10
51873	2021	130	10
51873	2021	132	30
51873	2021	133	30
51873	2021	134	40
51873	2021	145	100
51893	2021	128	20
51893	2021	132	20
51893	2021	134	5
51893	2021	141	25
51893	2021	141	20
51893	2021	144	5
51893	2021	151	99
51893	2021	151	100
51893	2021	157	100
51893	2021	158	100
51903	2021	106	0
51903	2021	108	0
51903	2021	116	3
51903	2021	120	5
51903	2021	123	5
51903	2021	124	10
51903	2021	127	30
51903	2021	128	65
51903	2021	129	80
51903	2021	129	60
51903	2021	144	100
51903	2021	145	100
51903	2021	146	100
51903	2022	102	0
51903	2022	102	0
51903	2022	103	0
51903	2022	107	1
51903	2022	110	1
51903	2022	118	10
51903	2022	118	20
51903	2022	127	100
51903	2022	129	100
51903	2022	131	100
51903	2022	132	100
51903	2022	134	100
51903	2022	137	100
51903	2022	141	100
51904	2021	101	0
51904	2021	107	0
51904	2021	107	5
51904	2021	117	2
51904	2021	127	90
51904	2021	130	100
51904	2021	137	100
51904	2021	140	100
51904	2022	105	0
51904	2022	107	0
51904	2022	116	20
51904	2022	122	90
51904	2022	129	100
51904	2022	130	100
51904	2022	131	100
51904	2022	137	100
51904	2022	140	100
51912	2021	106	2
51912	2021	114	0
51912	2021	128	65
51912	2021	137	100
51912	2021	141	100
51912	2021	149	100
51912	2021	151	100
51912	2022	88	0
51912	2022	97	0
51912	2022	105	0
51912	2022	105	7
51912	2022	110	20
51914	2022	103	0
51914	2022	105	0
51914	2022	110	0
51914	2022	122	0
51914	2022	130	100
51914	2022	139	100
51914	2022	155	100
51959	2021	107	0
51959	2021	108	5
51959	2021	109	0
51959	2021	110	0
51959	2021	115	0
51959	2021	117	0
51959	2021	124	30
51959	2021	132	15
51959	2021	135	60
51959	2021	137	40
51959	2021	143	100
51959	2021	144	100
51959	2021	146	100
51959	2021	147	100
51959	2021	151	100
51959	2022	111	2
51959	2022	117	1
51959	2022	119	5
51959	2022	124	30
51959	2022	131	100
51959	2022	131	95
51959	2022	133	100
51959	2022	134	100
51959	2022	134	100
51959	2022	139	100
51959	2022	147	100
51965	2021	117	2
51965	2021	131	10
51965	2021	143	100
51965	2021	144	100
51965	2021	147	100
51965	2021	151	100
51965	2021	152	100
51965	2021	153	100
51965	2021	154	100
51965	2021	157	100
51965	2021	158	100
51965	2021	160	100
51996	2022	102	0
51996	2022	115	100
51996	2022	123	100
51996	2022	124	100
51996	2022	126	100
51996	2022	130	100
51996	2022	131	100
51996	2022	137	100
51996	2022	141	100
51997	2022	121	1
51997	2022	123	0
51997	2022	124	0
51997	2022	124	0
51997	2022	125	0
51997	2022	127	0
51997	2022	130	0
51997	2022	131	0
51997	2022	134	0
51997	2022	138	3
